Index,Artist,Title,Mood
ML623,The Everly Brothers,All I Have To Do Is Dream,pos
ML624,War,The World Is A Ghetto,pos
ML625,The O'Jays,For The Love Of Money,pos
ML626,The Rolling Stones,I Just Want To Make Love To You,pos
ML627,The Beatles,Birthday,pos
ML628,The Beatles,The End,pos
ML629,.38 Special,Fantasy Girl,pos
ML630,The Beatles,Happiness Is A Warm Gun,neg
ML631,The Jimi Hendrix Experience,Stone Free,pos
ML632,Alice Cooper,Be My Lover,pos
ML633,Sanctus Real,The Face Of Love,pos
ML634,BarlowGirl,I Need You To Love Me,pos
ML635,John Prine,Glory Of True Love,pos
ML636,Luciano,For The Leaders,neg
ML637,Gregory Isaacs,Slavemaster,neg
ML638,Chimaira,Pure Hatred,neg
ML639,Sevendust,Bitch,neg
ML640,Theory Of A Deadman,Hate My Life,neg
ML641,Evans Blue,Cold ,neg
ML642,Patricia Barber,Easy To Love,pos
ML643,Alabama,Down Home,pos
ML644,Jo Dee Messina,Bring On The Rain,neg
ML645,Thousand Foot Krutch,Fire It Up,neg
ML646,God Forbid,War Of Attrition,neg
ML647,Nirvana,Come As You Are,neg
ML648,Chiodos,Caves,neg
ML649,Nirvana,Polly ,neg
ML650,Lit,Miserable,neg
ML651,Olga Tanon,Asi Es La Vida,neg
ML652,Britney Spears,Toxic,neg
ML653,Natasha Bedingfield,These Words,pos
ML654,Akon,Don't Matter,neg
ML655,Sean Kingston,Fire Burning On The Dance Floor,neg
ML656,Robert Plant,You Can't Buy My Love,pos
ML657,Rosanne Cash,Motherless Children,pos
ML658,The Black Keys,Next Girl,pos
ML659,The Beatles,Octopus's Garden,pos
ML660,Moby,Study War,neg
ML661,Neil Young,Sign Of Love,pos
ML662,John Lennon & The Plastic Ono Band,Power To The People,pos
ML663,Iron Fire,Still Alive,neg
ML664,The Sword,Freya,neg
ML665,Inoj,Time After Time,neg
ML666,Reba,Strange,pos
ML667,Tanya Tucker,Some Kind Of Trouble,neg
ML668,Tanya Tucker,Down To My Last Teardrop,pos
ML669,Shadows Fall,Still I Rise,neg
ML670,Backstreet Boys,Quit Playing Games ,pos
ML671,Peter Cetera,Glory Of Love,pos
ML672,Blessid Union Of Souls,I Believe,pos
ML673,The Gap Band,You Dropped A Bomb On Me,neg
ML674,Debbie Gibson,Shake Your Love,pos
ML675,Incubus,Love Hurts,pos
ML676,The Psychedelic Furs,Heaven,pos
ML677,Dinosaur Jr.,Feel The Pain,neg
ML678,Echo & The Bunnymen,People Are Strange,neg
ML679,Iggy Pop,Lust For Life,pos
ML680,Crocodiles,Sleep Forever,pos
ML681,Nirvana,Sliver,pos
ML682,Ashanti,The Way That I Love You,pos
ML683,Maze,Southern Girl ,pos
ML684,Carole King,Will You Love Me Tomorrow?,pos
ML685,Mint Condition,You Don't Have To Hurt No More,neg
ML686,Robin Thicke,The Sweetest Love,pos
ML687,Eliane Elias,Movin' Me On,pos
ML688,Interpol,Barricade,neg
ML689,Rob Zombie,Mars Needs Women,neg
ML690,Rascal Flatts,I Won't Let Go,neg
ML691,The Beatles,Golden Slumbers,pos
ML692,Spirit,Fresh Garbage,neg
ML693,Vanilla Fudge,You Keep Me Hangin' On,pos
ML694,The Sylvers,Boogie Fever,neg
ML695,George Harrison,What Is Life,pos
ML696,Nicolette Larson,Lotta Love,pos
ML697,Lindsey Buckingham,Trouble,neg
ML698,U2,Angel Of Harlem,pos
ML699,Grand Funk Railroad,Bad Time,pos
ML700,Haddaway,What Is Love,neg
ML701,The S.O.S. Band,Take Your Time ,pos
ML702,Peter Frampton,I'm In You,pos
ML703,Operation Ivy,Unity,neg
ML704,Papa Roach,Burn,neg
ML705,Apocalyptica,Bring Them To Light ,neg
ML706,Kopek,Love Is Dead,neg
ML707,Peaches & Herb,Close Your Eyes,pos
ML708,The Temptations,You're My Everything,pos
ML709,GQ,I Do Love You,pos
ML710,Chalino Sanchez,El Crimen De Culiacan,neg
ML711,Shedaisy,Come Home Soon,pos
ML712,Garth Brooks,Standing Outside The Fire,neg
ML713,Lee Ann Womack,I May Hate Myself In The Morning,neg
ML714,Nat King Cole,L-O-V-E,pos
ML715,Jose Feliciano,Light My Fire,neg
ML716,DeBarge,All This Love,pos
ML717,Norah Jones,My Blue Heaven,pos
ML718,Elmore James,The Sky Is Crying,pos
ML719,Elvis Costello,One Bell Ringing,neg
ML720,Nicki Minaj,Save Me,pos
ML721,Brandon Heath,Your Love,pos
ML722,Michael W. Smith,Awesome God,pos
ML723,Jeremy Riddle,Bless His Name,pos
ML724,"Phillips, Craig & Dean",Because I'm Forgiven,pos
ML725,Sarah Sadler,Beautiful,pos
ML726,Juan Gabriel,Abrazame Muy Fuerte,neg
ML727,Chalino Sanchez,Baraja De Oro,neg
ML728,Sam Cooke,Trouble Blues,neg
ML729,Salvador,You Are There,pos
ML730,Billy Ocean,Love Is Forever,pos
ML731,Seal,I'm Still In Love With You,pos
ML732,Intocable,Contra Viento Y Marea,neg
ML733,Sonny James,Young Love,pos
ML734,Dolly Parton,Yellow Roses,pos
ML735,Innerpartysystem,American Trash,neg
ML736,Edward Sharpe & The Magnetic Zeros,Home,pos
ML737,Tenacious D,The Metal,neg
ML738,The Heartbeats,A Thousand Miles Away,pos
ML739,Surface,Happy,pos
ML740,The Gap Band,Yearning For Your Love,pos
ML741,War,Outlaw,neg
ML742,Dinora Y La Juventud,A Puro Dolor,neg
ML743,Lhasa,De Cara A La Pared,neg
ML744,Duncan Dhu,En Algun Lugar,neg
ML745,Miguel Aceves Mejia,Rogaciano,neg
ML746,Audioslave,Original Fire,neg
ML747,Chickenfoot,Sexy Little Thing,pos
ML748,Veruca Salt,Seether,neg
ML749,Corinne Bailey Rae,Is This Love,pos
ML750,Jack White,Wayfaring Stranger,pos
ML751,Cross Canadian Ragweed,Fightin' For,neg
ML752,Janie Frickie,It Ain't Easy Bein' Easy,pos
ML753,The Statler Brothers,Bed Of Roses,pos
ML754,Dolly Parton,But You Know I Love You,pos
ML755,Marilyn Manson,The Nobodies,neg
ML756,Ozzy Osbourne,Killer Of Giants,neg
ML757,L.A. Guns,Never Enough,pos
ML758,Iron Maiden,Iron Maiden,neg
ML759,Honeymoon Suite,New Girl Now,pos
ML760,Stevie Ray Vaughan & Double Trouble,Willie The Wimp ,neg
ML761,Faith Evans,Love Like This,pos
ML762,Elvis Presley,Jailhouse Rock,neg
ML763,Al Martino,I Love You Because,pos
ML764,George McCrae,Rock Your Baby,pos
ML765,Bruce Springsteen,Save My Love,pos
ML766,Dolores O'Riordan,The Journey,pos
ML767,She & Him,I Should Have Known Better,pos
ML768,Ian Dury & The Blockheads,Hit Me With Your Rhythm Stick,neg
ML769,The Red Hot Chili Peppers,Behind The Sun,pos
ML770,J.D. Souther,You're Only Lonely,neg
ML771,Freelance Whales,Starring,neg
ML772,The Cure,Fascination Street,neg
ML773,Jack Johnson,Wasting Time,neg
ML774,The Beatles,Thank You Girl ,pos
ML775,Electronic,Getting Away With It,pos
ML776,Chris Tomlin,Our God,pos
ML777,Robbie Seay Band,Song of Hope,pos
ML778,Hezekiah Walker & The Love Fellowship Crusade Choir,Grateful ,pos
ML779,Martha Munizzi,Invincible God,pos
ML780,Vickie Winans,The Rainbow,pos
ML781,The Shirelles,Will You Love Me Tomorrow,pos
ML782,Dianne Reeves,Afro Blue,pos
ML783,Black Label Society,Bored To Tears,neg
ML784,George Michael,I Want Your Sex,pos
ML785,Slayer,War Ensemble,neg
ML786,Metallica,Crash Course In Brain Surgery,neg
ML787,Monchy & Alexandra,Hasta El Fin,neg
ML788,Patrulla 81,Como Me Haces Falta,neg
ML789,Aliados De La Sierra,Te Amo,neg
ML790,Los Rieleros Del Norte,Un Juego,neg
ML791,Conjunto Primavera,El Amor Que Nunca Fue,neg
ML792,Luther Vandross,Anyone Who Had A Heart,pos
ML793,New Edition,Candy Girl,pos
ML794,Tower Of Power,Give Me Your Love,pos
ML795,Joan Osborne,War,neg
ML796,Jimmy Smith,Strut ,pos
ML797,"Harry Connick, Jr.",My Blue Heaven,pos
ML798,The Brian Setzer Orchestra,The Dirty Boogie,neg
ML799,Joni Mitchell,Sometimes I'm Happy,pos
ML800,Jimmy Smith,I Just Wanna Make Love To You ,pos
ML801,The Naked And Famous,All Of This,neg
ML802,The Jesus & Mary Chain,Just Like Honey,pos
ML803,Destructor,Skull Splitter,neg
ML804,Noah And The Whale,Give A Little Love,pos
ML805,Grizzly Bear,Lullabye,pos
ML806,Best Coast,Honey,pos
ML807,Warpaint,Composure,neg
ML808,Sly & The Family Stone,Family Affair,pos
ML809,Gliss,Morning Light,pos
ML810,Kaiser Chiefs,I Predict A Riot,neg
ML811,Buzzcocks,Ever Fallen In Love?,pos
ML812,Jay Reatard,DOA,pos
ML813,OFF!,Upside Down,neg
ML814,The Jesus & Mary Chain,The Hardest Walk,neg
ML815,Fang Island,The Illinois,pos
ML816,The Decemberists,This Is Why We Fight,neg
ML817,No Age,Life Prowler,pos
ML818,Someone Still Loves You Boris Yeltsin,Everlyn,neg
ML819,Billie Holiday,There Is No Greater Love,pos
ML820,Louis Armstrong,Stormy Weather,neg
ML821,Chevelle,Vitamin R ,neg
ML822,Deftones,Bored,neg
ML823,Muse,Knights Of Cydonia,neg
ML824,Bebel Gilberto,Aganju,neg
ML825,Peter Gabriel,Digging In The Dirt,neg
ML826,KMFDM,WWIII,neg
ML827,Michael Bolton,Said I Loved You...But I Lied,pos
ML828,England Dan & John Ford Coley,It's Sad To Belong,neg
ML829,Queen Latifah,What Love Has Joined Together,pos
ML830,Roberta Flack,Set The Night To Music ,pos
ML831,Otis Redding,Respect,pos
ML832,"Emerson, Lake & Palmer",From The Beginning,neg
ML833,Roisin Murphy,Let Me Know,neg
ML834,Elton John,Sad Songs ,neg
ML835,Sarah Vaughan,You're Not The Kind,pos
ML836,Alan Jackson,A Woman's Love,pos
ML837,Dean Martin,Innamorata,pos
ML838,Fine Young Cannibals,Ever Fallen In Love,pos
ML839,LeAnn Rimes,God Bless America,pos
ML840,Diana Krall,Little Girl Blue,pos
ML841,Billie Holiday,Did I Remember?,neg
ML842,Billie Holiday,The Very Thought Of You,pos
ML843,"Hamilton, Joe Frank & Reynolds",Fallin' In Love,pos
ML844,Mary J. Blige,Real Love ,pos
ML845,Trivium,Shattering The Skies Above,neg
ML846,Jarabe De Palo,El Lado Oscuro,neg
ML847,Ricardo Arjona,Pinguinos En La Cama,neg
ML848,The Oak Ridge Boys,Fancy Free,pos
ML849,Bobby Bare,500 Miles Away From Home,pos
ML850,Willie Nelson,Let It Be Me,pos
ML851,Willie Nelson,Blue Skies,pos
ML852,Ronnie Milsap,"Happy, Happy Birthday Baby",pos
ML853,Dolly Parton,Think About Love,pos
ML854,Marty Robbins,Big Iron,neg
ML855,Faron Young,Hello Walls,neg
ML856,Billy Swan,I Can Help,pos
ML857,Frank Sinatra,Nice Work If You Can Get It,pos
ML858,The Red Hot Chili Peppers,Fortune Faded,neg
ML859,Taddy Porter,Shake Me,neg
ML860,Rob Zombie,Sick Bubble-Gum,neg
ML861,Egypt Central,You Make Me Sick,neg
ML862,Juelz Santana,There It Go ,pos
ML863,Skindred,Pressure,neg
ML864,The Wannadies,Skin,pos
ML865,Vanessa Williams,My Flame,pos
ML866,Paula Abdul,The Way That You Love Me,pos
ML867,My Morning Jacket,Circuital,neg
ML868,The Beatles,Yer Blues,neg
ML869,George Harrison,Isn't It A Pity,neg
ML870,Arthur Brown,Fire,neg
ML871,J Boog,Let's Do It Again ,pos
ML872,Kapena,Masese,neg
ML873,Pat Benatar,Fire And Ice,neg
ML874,The Four Tops,When She Was My Girl,pos
ML875,The Honey Drippers,Sea Of Love,pos
ML876,Emmylou Harris,Home Sweet Home,pos
ML877,Toots & The Maytals,Pressure Drop,neg
ML878,James Blake,Lindisfarne I,neg
ML879,Dan Deacon,Wet Wings,neg
ML880,Jane Monheit,Save Your Love For Me,pos
ML881,Foster The People,Warrant,neg
ML882,Jens Lekman,I'm Leaving You Because I Don't Love You,pos
ML883,Bill Callahan,Sycamore,neg
ML884,Wye Oak,Civilian,pos
ML885,The Doors,The Spy,neg
ML886,Slayer,Cult,neg
ML887,Dirge Within,Self Medicate,neg
ML888,Atreyu,Ex's And Oh's,neg
ML889,Donnie McClurkin,When You Love ,pos
ML890,Anita Baker,You Bring Me Joy,pos
ML891,Anita Baker,Good Love,pos
ML892,Adele,Love Song,pos
ML893,Adelitas Way,Sick,neg
ML894,Sick Puppies,War,neg
ML895,Red,Feed The Machine,neg
ML896,Metallica,Metal Militia,neg
ML897,Cold,Wicked World,neg
ML898,Anthrax,Among The Living,neg
ML899,Blackguard,Firefight,neg
ML900,Katy Perry,E.T. ,neg
ML901,The Stylistics,You're A Big Girl Now,pos
ML902,Kid Rock,Collide ,neg
ML903,Millie Small,My Boy Lollipop,pos
ML904,The Rolling Stones,We Love You,pos
ML905,Bob Marley & The Wailers,War,neg
ML906,Gene Pitney,Only Love Can Break A Heart,pos
ML907,John Hiatt,What Kind Of Man,pos
ML908,Joan Armatrading,This Charming Life,pos
ML909,The Isley Brothers,Fight The Power Part 1,neg
ML910,War,Me And Baby Brother,pos
ML911,Eskmo,Color Dropping,pos
ML912,Chris Tomlin,Our God,pos
ML913,Celine Dion,God Bless America,pos
ML914,Lincoln Brewster,All I Really Want,pos
ML915,Jose Jose,O Tu O Yo,neg
ML916,Joe Cocker,You Are So Beautiful,pos
ML917,Cassandra Wilson,Blue Skies,pos
ML918,Roy Milton,Thrill Me,pos
ML919,Billie Holiday,Nice Work If You Can Get It,pos
ML920,Delirious?,Stronger,pos
ML921,Ready For The World,Love You Down,pos
ML922,New Edition,I'm Still In Love With You,pos
ML923,Frederick Knight,I've Been Lonely For So Long,neg
ML924,Wilson Pickett,Don't Let The Green Grass Fool You,pos
ML925,Jill Scott,So In Love ,pos
ML926,Johnny Gill,In The Mood,pos
ML927,One Way,Cutie Pie,pos
ML928,Elvis Presley,Heartbreak Hotel,neg
ML929,The Platters,I Love You 1000 Times,pos
ML930,Bo Diddley,Bo Diddley,pos
ML931,Brenton Wood,Gimme Little Sign,pos
ML932,Barry Manilow,Can't Smile Without You,neg
ML933,Shenandoah,Rock My Baby,pos
ML934,Hank Snow,Hello Love,pos
ML935,Zebra,One More Chance,pos
ML936,Sammy Hagar,Baby's On Fire,neg
ML937,Tony Carey,I Won't Be Home Tonight,pos
ML938,Whitesnake,Love Ain't No Stranger,pos
ML939,Muse,Stockholm Syndrome,neg
ML940,Jose Alfredo Jimenez,El Rey,neg
ML941,Los Alegres De Teran,Hermosisimo Lucero,neg
ML942,Nice & Wild,Diamond Girl,pos
ML943,The Cult,Sun King,pos
ML944,Sammy Kershaw,Love Of My Life,pos
ML945,Craig Morgan,God Must Really Love Me,pos
ML946,Alan Jackson,Ring Of Fire,neg
ML947,David Kersh,Goodnight Sweetheart,pos
ML948,Robert Earl Keen,Something I Do,pos
ML949,Willie Nelson,Uncloudy Day,pos
ML950,Ryan Adams,To Be Young ,neg
ML951,Reckless Kelly,Some People's Kids,neg
ML952,Praise Band,Awesome God,pos
ML953,Phish,Free,pos
ML954,Christine McVie,Got A Hold On Me,pos
ML955,Chic,I Want Your Love,pos
ML956,Don Henley,Sunset Grill,pos
ML957,Underoath,A Boy Brushed Red Living In Black And White,neg
ML958,Vreid,Disciplined,neg
ML959,Belphegor,Blood Magick Necromance,neg
ML960,Murder By Death,Comin' Home,pos
ML961,My Darkest Days,Move Your Body,neg
ML962,Akon,Lonely,neg
ML963,Conjunto Primavera,Fue Un Placer Amarte,neg
ML964,Terri Clark,I Just Wanna  Be Mad,neg
ML965,Built To Spill,Goin' Against Your Mind,pos
ML966,Bo Diddley,Bring It To Jerome,pos
ML967,Jane Monheit,I'm Glad There Is You,pos
ML968,Ann Hampton Callaway,What Is This Thing Called Love?,pos
ML969,B.B. King,Don't Answer The Door,pos
ML970,James Hunter,No Smoke Without Fire,neg
ML971,Melody Gardot,Over The Rainbow,pos
ML972,Stevie Wonder,For Your Love,pos
ML973,Simon & Garfunkel,Homeward Bound,pos
ML974,Wadsworth Mansion,Sweet Mary,pos
ML975,Bayside,"Sick, Sick, Sick",neg
ML976,"Does It Offend You, Yeah?",The Monkeys Are Coming,neg
ML977,Rosie & The Originals,Angel Baby,pos
ML978,Maze,Happy Feelin's ,pos
ML979,Zoe,Love,pos
ML980,Young Galaxy,The Angels Are Surely Weeping,neg
ML981,PJ Harvey,This Mess We're In,pos
ML982,Kylesa,Dust,neg
ML983,Silversun Pickups,Waste It On,neg
ML984,Oh Land,White Nights,pos
ML985,The Beatles,And I Love Her,pos
ML986,Serge Gainsbourg,Requiem Pour Un C...,neg
ML987,Bebel Gilberto,Aganju,neg
ML988,The Dramatics,Get Up And Get Down,neg
ML989,Tinsley Ellis,Speak No Evil,neg
ML990,Kurt Elling,Matte Kudasai,neg
ML991,Merle Haggard,Going Where The Lonely Go,neg
ML992,Johnny Cash,Rusty Cage,neg
ML993,Green Day,Sassafrass Roots,neg
ML994,Judas Priest,Painkiller,neg
ML995,Mr. Big,Addicted To That Rush,neg
ML996,The Rolling Stones,Hang Fire,neg
ML997,Jack Johnson,From The Clouds,pos
ML998,Robbie Robertson,He Don't Live Here No More,neg
ML999,Stereophonics,Maybe Tomorrow,pos
ML1000,The Police,So Lonely,neg
ML1001,Rockpile,Teacher Teacher,pos
ML1002,Air,Cherry Blossom Girl,pos
ML1003,Los Lobos,Come On Let's Go,pos
ML1004,Damien Rice,The Blowers Daughter,pos
ML1005,Byron Cage,It Is To You,pos
ML1006,Will Downing,Lover's Melody ,pos
ML1007,Mary J. Blige,I Can See In Color,pos
ML1008,Hezekiah Walker & The Love Fellowship Crusade Choir,Power Belongs To God,pos
ML1009,Donald Byrd,Think Twice,pos
ML1010,The Meters,Fire On The Bayou,neg
ML1011,Inner City,Good Life,pos
ML1012,La Ley,Aqui,neg
ML1013,Ednita Nazario,Sobrevivo,neg
ML1014,Fats Domino,All By Myself,pos
ML1015,Al Green,You've Got The Love I Need ,pos
ML1016,Patrice Rushen,Settle For My Love,pos
ML1017,K-Paz De La Sierra,Volvere,neg
ML1018,Ricardo Montaner,Tan Enamorados,neg
ML1019,RBD,Nuestro Amor,neg
ML1020,Belinda,Bella Traicion,neg
ML1021,Braids,Lemonade,neg
ML1022,The Stooges,No Fun,pos
ML1023,Sonic Youth,Reena,pos
ML1024,Fatboy Slim,Everybody Needs A 303,pos
ML1025,Metric,On The Sly,neg
ML1026,Warpaint,Set Your Arms Down,neg
ML1027,White Fence,Harness,pos
ML1028,Bloc Party,Like Eating Glass,neg
ML1029,Smith Westerns,Fallen In Love,pos
ML1030,Tokyo Police Club,Big Difference,neg
ML1031,Love Is All,Make Out Fall Out Make Up,neg
ML1032,Tony Bennett,Because Of You,pos
ML1033,Billie Holiday,Summertime,pos
ML1034,The Red Hot Chili Peppers,Blood Sugar Sex Magik,pos
ML1035,Warrant,Sometimes She Cries,neg
ML1036,Enya,Amarantine,pos
ML1037,Andy Andy,Que Ironia,neg
ML1038,Victor Manuelle,Asi Es La Mujer,neg
ML1039,Motley Crue,Louder Than Hell,neg
ML1040,New Order,Shellshock,neg
ML1041,The Beatles,I Should Have Known Better,pos
ML1042,Roger Daltrey,Without Your Love,pos
ML1043,David Lee Roth,Just Like Paradise,pos
ML1044,Ohio Express,Yummy Yummy Yummy,pos
ML1045,Small Faces,Itchycoo Park,pos
ML1046,The Supremes,Baby Love,pos
ML1047,"Blood, Sweat & Tears",You've Made Me So Very Happy,pos
ML1048,Olivia Newton-John,I Honestly Love You,pos
ML1049,The Ronettes,"Baby, I Love You",pos
ML1050,Van Morrison,Crazy Love,pos
ML1051,The Rascals,People Got To Be Free,pos
ML1052,Eddie Holman,Hey There Lonely Girl,neg
ML1053,The Cowsills,"The Rain, The Park And Other Things",pos
ML1054,The Bee Gees,Tragedy,neg
ML1055,The Beatles,Love Me Do,pos
ML1056,Wayne Fontana & The Mindbenders,The Game Of Love,pos
ML1057,Otis Redding,That's How Strong My Love Is,pos
ML1058,The Whispers,It's A Love Thing,pos
ML1059,Laura Izibor,From My Heart To Yours,pos
ML1060,Rufus & Chaka Khan,Do You Love What You Feel,pos
ML1061,Loose Ends,Slow Down,neg
ML1062,Ann Nesby,Put It On Paper ,neg
ML1063,Anthony Hamilton,The Point Of It All,pos
ML1064,Donny Hathaway,I Love You More Than You'll Ever Know,pos
ML1065,Jerzee Monet,Most High,pos
ML1066,Boney James,Don't Let Me Be Lonely Tonight ,neg
ML1067,Karyn White,Love Saw It ,pos
ML1068,Teena Marie,Portuguese Love,pos
ML1069,Lisa Fischer,How Can I Ease The Pain,neg
ML1070,Dave Hollister,Take Care Of Home,pos
ML1071,Gotan Project,Amor Porteno ,neg
ML1072,The Infamous Stringdusters,Starry Night,pos
ML1073,Skeletonwitch,Upon Wings Of Black,neg
ML1074,Hatebreed,Destroy Everything,neg
ML1075,Lamb Of God,Black Label,neg
ML1076,Metallica,St. Anger,neg
ML1077,Whitney Houston,All The Man That I Need,pos
ML1078,Patti LaBelle,Kiss Away The Pain,neg
ML1079,Johnny Hartman,The Very Thought Of You,pos
ML1080,The Radio Dept.,Heaven's On Fire,neg
ML1081,Baths,Maximalist,pos
ML1082,Lucinda Williams,Born To Be Loved,pos
ML1083,Daft Punk,Make Love,pos
ML1084,New Order,Age Of Consent,neg
ML1085,Roy Orbison,Candy Man,pos
ML1086,El Guincho,Lycra Mistral,neg
ML1087,The Hundred In The Hands,Dead Ending,neg
ML1088,Yeah Yeah Yeahs,Maps,pos
ML1089,Ed Bruce,The Last Cowboy Song,neg
ML1090,Crystal Gayle,A Long And Lasting Love,pos
ML1091,Pat Benatar,We Live For Love,pos
ML1092,Boz Scaggs,Breakdown Dead Ahead,neg
ML1093,The Raveonettes,War In Heaven,neg
ML1094,Stateless,Assassinations,neg
ML1095,Me'Shell Ndegeocello,Love You Down,pos
ML1096,Gorillaz,Broken,neg
ML1097,Vivian Girls,I Heard You Say,neg
ML1098,Franz Ferdinand,Do You Want To,pos
ML1099,UNKLE,Hold My Hand,neg
ML1100,36 Crazyfists,The All Night Lights,neg
ML1101,The Devil Wears Prada,Dez Moines,neg
ML1102,Alabama,Sad Lookin' Moon,neg
ML1103,Rufus & Chaka Khan,Everlasting Love,pos
ML1104,Mr. Capone-E,Light My Fire ,neg
ML1105,Raheem DeVaughn,I Don't Care,neg
ML1106,Herb Alpert & The Tijuana Brass,A Taste Of Honey,pos
ML1107,Gretchen Parlato,Blue In Green,pos
ML1108,Gucci Mane,I Don't Love Her ,pos
ML1109,Keri Hilson,Make Love,pos
ML1110,Chris Brown,Beautiful People ,pos
ML1111,Jeremy Camp,You Never Let Go,neg
ML1112,Rocio Durcal,No Sirvo Para Estar Sin Ti,neg
ML1113,Albert Hammond,Echame A Mi La Culpa,neg
ML1114,Banda El Recodo,Tiro Arriba,neg
ML1115,Roberta Gambarini,From This Moment On,pos
ML1116,Back Door Slam,Come Home,pos
ML1117,Immature,Never Lie,neg
ML1118,The Everly Brothers,When Will I Be Loved,pos
ML1119,Enanitos Verdes,Mejor No Hablemos De Amor,neg
ML1120,The Herbaliser,Gadget Funk,neg
ML1121,The Drums,I Need Fun In My Life,pos
ML1122,Michael Franti & Spearhead,Light Up Ya Lighter,neg
ML1123,Mission Of Burma,That's How I Escaped My Certain Fate,neg
ML1124,Frank Sinatra,My Kind Of Town,pos
ML1125,Loreena McKennitt,Down By The Sally Gardens,pos
ML1126,Sin Fang,Always Everything,neg
ML1127,Fischerspooner,Happy,neg
ML1128,Craig Morgan,I Got You,pos
ML1129,Willie Nelson & Leon Russell,Heartbreak Hotel,neg
ML1130,Son Volt,Drown,neg
ML1131,Faith No More,War Pigs,neg
ML1132,Whitney Houston,Miracle,pos
ML1133,Drive-By Truckers,Everybody Needs Love,pos
ML1134,Sarah McLachlan,Into The Fire,neg
ML1135,Florence & The Machine,You've Got The Love,pos
ML1136,Culture Club,It's A Miracle,pos
ML1137,Elbow,With Love,pos
ML1138,Graham Parker,White Honey,pos
ML1139,Beck,Lost Cause,neg
ML1140,Dianne Reeves,Love For Sale,pos
ML1141,Melba Moore,Time To Come Home ,pos
ML1142,Incognito,Your Sun My Sky ,pos
ML1143,Gloria Trevi,Me Rio De Ti,neg
ML1144,Soraya,Llevame,neg
ML1145,Bury Your Dead,Twelfth Stroke Of Midnight,neg
ML1146,Roy Orbison,Only The Lonely ,neg
ML1147,Roy Orbison,Running Scared,neg
ML1148,Banda Maguey,Que Sacrificio,neg
ML1149,Alejandro Fernandez,Si He Sabido Amor,neg
ML1150,Martha Munizzi,Mighty God,pos
ML1151,Fred Hammond,Keep On Praisin',pos
ML1152,Kirk Franklin,Afterwhile ,neg
ML1153,Phil Perry,The World Is A Ghetto,pos
ML1154,Expatriate,Gotta Get Home,pos
ML1155,Boney James,I Get Lonely,neg
ML1156,Billy Corgan,A100,pos
ML1157,Patty Griffin,Rowing Song,neg
ML1158,Gyptian,So Much In Love,pos
ML1159,Tito Nieves,Mi Eterno Amor Secreto,neg
ML1160,Grupo Niche,Gotas De Lluvia,neg
ML1161,Billie Holiday,Prelude To A Kiss,pos
ML1162,Barbara Lewis,Make Me Your Baby,pos
ML1163,Brook Benton,Lie To Me,neg
ML1164,Roomful Of Blues,That's A Pretty Good Love,pos
ML1165,The Beatles,I Want You ,neg
ML1166,Paul McCartney & Wings,Helen Wheels,neg
ML1167,The Doors,Waiting For The Sun,pos
ML1168,Elvis Presley,Heartbreak Hotel,neg
ML1169,Herman's Hermits,Listen People,pos
ML1170,Peter & Gordon,True Love Ways,pos
ML1171,Donovan,Wear Your Love Like Heaven,pos
ML1172,The Hollies,The Air That I Breathe,pos
ML1173,Gene Vincent & His Blue Caps,Be-Bop-A-Lula,pos
ML1174,Ruby & The Romantics,Our Day Will Come,pos
ML1175,Maze,We Are One ,pos
ML1176,Con Funk Shun,Ffun,pos
ML1177,Angela Winbush,Angel,pos
ML1178,Charlie Wilson,Without You,pos
ML1179,Jazmine Sullivan,Fear,neg
ML1180,Big Head Blues Club,Kind Hearted Woman,pos
ML1181,James Brown,I'll Go Crazy,pos
ML1182,Lucinda Williams,Joy,pos
ML1183,Willie Nelson,Night Life ,pos
ML1184,Max Romeo & The Upsetters,War Ina Babylon,neg
ML1185,Freddie Hubbard,Red Clay,pos
ML1186,Static-X,Bled For Days,neg
ML1187,Hatebreed,Ghosts Of War,neg
ML1188,Howlin' Wolf,Shake For Me,pos
ML1189,"Earth, Wind & Fire",Evil,neg
ML1190,Della Reese,Don't You Know,pos
ML1191,James Taylor,Don't Let Me Be Lonely Tonight,neg
ML1192,Rob Zombie,Demon Speeding,neg
ML1193,Motorhead,The Game,neg
ML1194,Marc Anthony,Viviendo,neg
ML1195,Jo Dee Messina,Because You Love Me,pos
ML1196,Bad Religion,The Biggest Killer In American History,neg
ML1197,The Clash,Tommy Gun,neg
ML1198,Dio,Stand Up And Shout,neg
ML1199,Kirk Franklin & The Family,Now Behold The Lamb,pos
ML1200,Tye Tribbett & G.A.,Still Have Joy,pos
ML1201,Sarah Vaughan,Fever,neg
ML1202,Pendulum,Out Here,neg
ML1203,Bettye LaVette,It Don't Come Easy,pos
ML1204,Desperation Band,The Difference,pos
ML1205,Chelley,Took The Night,neg
ML1206,Jose Feliciano,Feliz Navidad,pos
ML1207,Johnny O.,Fantasy Girl,pos
ML1208,Sonora Santanera,Donde Estas Yolanda,neg
ML1209,Andy Palacio & The Garifuna Collective,Baba ,neg
ML1210,Harlem,Spray Paint,pos
ML1211,Fleet Foxes,Sun It Rises,pos
ML1212,Nellie McKay,The Very Thought Of You,pos
ML1213,The Album Leaf,Falling From The Sun,neg
ML1214,Nellie McKay,Mother Of Pearl,neg
